lat,lon,speed,heading,cross_track_km
30.81074,75.18017,29.0,144.2,0.011
30.81281,75.155,31.6,254.2,0.01
30.82496,75.17142,29.7,203.7,0.006
30.77927,75.13118,95.0,333.1,1.001
30.8024,75.17011,31.5,9.2,0.015
30.81909,75.17743,13.8,255.0,0.008
30.81342,75.17441,33.1,118.9,0.016
30.81108,75.17433,22.6,64.9,0.011
30.82139,75.16943,19.2,183.7,0.017
30.82475,75.16187,19.2,181.8,0.024
30.82395,75.16263,31.5,49.3,0.023
30.80979,75.17727,26.2,72.7,0.028
30.81403,75.17176,14.5,146.9,0.023
30.81915,75.17049,31.8,147.2,0.017
30.8243,75.16821,16.5,114.3,0.011
30.81267,75.16916,29.1,53.5,0.011
30.81501,75.17998,29.9,1.6,0.006
30.80765,75.16892,35.1,349.3,0.015
30.80693,75.16087,42.3,339.7,0.022
30.823,75.17755,17.1,174.1,0.008
30.82735,75.16996,27.6,358.2,0.015
30.81592,75.17185,25.8,242.5,0.008
30.82453,75.18446,31.5,24.8,0.017
30.81939,75.17144,29.7,42.4,0.01
30.81134,75.17391,25.2,329.8,0.008
30.81939,75.16217,24.5,226.8,0.008
30.8288,75.16984,19.1,303.5,0.02
30.81621,75.17648,35.9,323.4,0.014
30.82902,75.15916,31.7,161.3,0.011
30.77449,75.14491,0.0,17.5,1.255
30.82308,75.17241,25.5,67.8,0.011
30.8172,75.17193,22.7,24.0,0.026
30.81411,75.1799,19.4,67.9,0.005
30.81723,75.17428,30.9,147.8,0.013
30.86814,75.18626,110.0,42.6,0.345
30.81474,75.16365,42.8,60.0,0.012
30.81936,75.17269,17.5,160.5,0.002
30.82832,75.17228,30.2,122.5,0.022
30.81235,75.16305,40.5,168.4,0.023
30.81003,75.17925,32.8,154.5,0.023
30.81249,75.1902,29.4,232.0,0.015
30.82382,75.17146,20.3,337.4,0.006
30.81913,75.17564,16.9,38.8,0.007
30.82652,75.08176,95.0,35.7,0.659
30.82061,75.16589,40.0,307.0,0.029
30.81728,75.15703,24.5,182.3,0.016
30.82425,75.16595,18.9,275.9,0.01
30.81088,75.16046,8.3,77.6,0.029
30.81388,75.18523,20.2,298.4,0.008
30.81336,75.17068,27.1,332.6,0.017
30.80479,75.16883,40.8,228.8,0.029
30.81887,75.17871,33.4,38.1,0.007
30.81859,75.16263,30.4,322.3,0.023
30.81654,75.16547,24.8,285.3,0.02
30.81462,75.17214,23.3,270.3,0.015
30.80518,75.17983,39.2,13.2,0.005
30.81313,75.17561,29.6,287.6,0.008
30.81376,75.17359,11.2,49.7,0.018
30.81008,75.17222,22.6,80.1,0.001
30.81521,75.1748,21.1,207.8,0.016
30.81973,75.17321,23.6,95.4,0.02
30.83159,75.16336,32.5,238.1,0.025
30.8179,75.17197,27.1,218.9,0.001
30.81856,75.16301,27.4,38.9,0.028
30.8159,75.17225,38.5,236.2,0.032
30.80115,75.16775,22.4,332.6,0.019
31.02153,75.19272,110.0,58.0,1.137
30.81698,75.17128,22.6,214.9,0.012
30.83621,75.16037,28.7,123.1,0.015
30.77903,75.26698,110.0,165.5,0.578
30.81891,75.17575,29.0,103.3,0.015
30.81622,75.18499,31.6,127.5,0.018
30.80715,75.16688,31.5,10.4,0.014
30.82564,75.15894,22.0,353.4,0.018
30.82252,75.17813,19.0,224.9,0.01
30.82283,75.16056,48.0,180.3,0.012
30.80922,75.16811,24.1,138.1,0.009
30.82772,75.16954,33.6,194.2,0.034
30.80529,75.17104,15.1,136.8,0.03
30.82119,75.17711,25.8,129.6,0.021
30.83402,75.16613,27.0,167.0,0.028
30.80858,75.16941,31.8,99.4,0.023
30.81197,75.17149,6.2,64.8,0.017
30.8173,75.1728,29.3,200.4,0.0
30.81247,75.17238,18.8,303.4,0.012
30.80409,75.17509,30.6,55.0,0.012
30.81705,75.17835,19.7,11.8,0.004
30.808,75.17474,21.2,88.9,0.0
30.82029,75.17523,25.8,352.7,0.02
30.80914,75.15894,19.6,298.4,0.018
30.8289,75.172,24.2,214.5,0.003
30.81023,75.17544,18.5,334.5,0.008
30.81392,75.17743,13.3,160.3,0.027
30.82301,75.16606,36.1,354.0,0.006
30.80665,75.16633,17.6,106.7,0.017
30.81832,75.16701,26.6,86.5,0.013
30.82696,75.17589,34.0,229.7,0.02
30.80364,75.17987,23.1,136.1,0.006
30.69155,75.06911,0.0,225.5,0.491
30.81858,75.17886,29.8,109.8,0.017
30.82275,75.17259,36.9,222.5,0.017
30.8066,75.17061,18.6,99.3,0.016
30.80594,75.16991,26.8,18.3,0.018
30.82068,75.17757,14.1,328.4,0.037
30.81888,75.1742,24.9,318.0,0.041
30.8185,75.18981,28.3,349.5,0.009
30.81927,75.16478,21.2,257.9,0.008
30.81106,75.17574,24.3,245.8,0.021
30.81836,75.16737,16.7,201.2,0.017
30.81884,75.16465,28.6,45.3,0.026
30.81079,75.17151,36.4,68.1,0.018
30.83143,75.1727,19.2,104.2,0.016
30.82029,75.19495,23.0,320.5,0.026
30.80697,75.17013,32.0,62.3,0.028
30.82175,75.16256,37.7,332.2,0.001
30.8087,75.17378,16.1,188.2,0.007
30.8228,75.155,26.6,257.6,0.014
30.88783,75.10565,95.0,39.7,0.724
30.80993,75.17173,27.2,96.9,0.013
30.82421,75.17796,8.2,345.1,0.019
30.8198,75.17939,32.0,95.8,0.025
30.82308,75.16757,40.2,106.7,0.032
30.83167,75.1704,28.9,71.1,0.021
30.81454,75.16547,19.8,46.5,0.006
30.81047,75.16258,23.9,84.0,0.014
30.80938,75.17408,42.2,231.2,0.014
30.80997,75.16141,35.3,163.9,0.02
30.81588,75.16828,33.1,199.4,0.019
30.81923,75.16364,30.9,44.1,0.036
30.81871,75.176,22.7,288.8,0.01
30.82312,75.18601,26.4,282.3,0.019
30.8166,75.16119,27.4,7.8,0.039
30.82813,75.15678,32.4,138.1,0.009
30.81438,75.1706,40.1,24.8,0.016
30.83826,75.17173,36.9,285.2,0.006
30.86238,75.20853,110.0,265.4,0.324
30.80964,75.16803,29.8,324.7,0.007
30.80793,75.16999,33.9,85.1,0.025
30.82036,75.17454,33.0,164.3,0.016
30.81471,75.17992,23.0,66.4,0.006
30.82221,75.15596,50.0,133.6,0.023
30.82029,75.16865,17.8,188.0,0.017
30.81592,75.17331,19.3,19.2,0.025
30.80973,75.16426,29.9,257.4,0.004
30.80438,75.18545,44.9,195.6,0.019
30.81293,75.16652,21.3,298.4,0.023
30.82335,75.17127,25.9,97.8,0.011
30.81821,75.17605,36.6,325.2,0.002
30.80653,75.16687,27.9,359.5,0.015
30.81789,75.15683,25.3,330.9,0.027
30.81958,75.16817,32.5,280.0,0.026
30.80943,75.17984,30.2,292.5,0.011
30.81773,75.1689,36.2,206.5,0.002
30.81697,75.16483,38.3,68.5,0.011
30.80736,75.17901,30.5,243.7,0.01
30.81936,75.16895,30.3,256.6,0.019
30.82099,75.16752,29.7,354.7,0.014
30.82516,75.1728,31.9,194.9,0.007
30.82493,75.17777,28.4,97.7,0.026
30.80548,75.19065,28.0,246.1,0.016
30.809,75.17822,37.6,352.6,0.019
30.82062,75.18088,40.1,63.8,0.002
30.82061,75.16755,15.9,117.4,0.009
30.82062,75.16339,28.1,195.1,0.001
30.84732,75.1721,22.5,61.3,0.01
30.82107,75.17246,25.5,8.0,0.021
30.82558,75.16297,31.2,121.3,0.008
30.81533,75.2168,95.0,311.5,1.355
30.82171,75.17479,27.1,15.6,0.017
30.81398,75.17448,12.7,154.4,0.029
30.82257,75.17563,20.3,274.4,0.006
30.81032,75.17393,35.2,343.1,0.02
30.81461,75.16754,6.1,354.8,0.016
30.81262,75.16749,37.5,151.9,0.023
30.81715,75.16201,32.2,342.1,0.013
30.83502,75.18588,38.5,12.8,0.02
30.80156,75.17171,26.4,268.5,0.026
30.82199,75.1698,11.5,231.4,0.008
30.8036,75.16417,31.4,89.8,0.017
30.81272,75.19509,38.2,182.6,0.004
30.82521,75.16301,35.4,46.6,0.022
30.81701,75.16817,22.7,313.8,0.035
30.80788,75.17493,28.7,128.8,0.003
30.825,75.1431,85.0,225.4,0.448
30.82194,75.17926,21.4,57.2,0.024
30.81066,75.18606,35.6,74.2,0.015
30.81823,75.17565,18.4,357.1,0.017
30.81686,75.16315,20.8,271.1,0.011
30.81129,75.16954,19.2,346.3,0.011
30.83365,75.17406,16.1,106.5,0.014
30.82157,75.18815,29.2,59.2,0.015
30.8003,75.16042,37.3,181.1,0.003
30.81799,75.18122,26.5,178.1,0.014
30.81121,75.17304,16.0,63.0,0.031
30.82332,75.1783,34.7,264.0,0.011
30.81016,75.17078,41.5,130.2,0.003
30.81558,75.16486,22.8,67.1,0.013
30.82054,75.17761,24.2,119.5,0.008
30.82343,75.17684,32.1,202.9,0.002
30.8069,75.17938,41.0,261.5,0.016
30.81382,75.17149,23.8,173.5,0.008
30.8127,75.1668,17.3,189.2,0.009
30.81127,75.15913,33.1,50.0,0.017
30.83062,75.17815,34.4,329.3,0.0
30.81974,75.17499,28.0,334.3,0.002
30.80641,75.16387,23.5,246.0,0.022
30.82384,75.16729,36.0,6.3,0.004
30.83348,75.16787,32.2,193.3,0.005
30.82476,75.15974,21.9,226.5,0.003
30.80435,75.16506,28.4,358.1,0.01
30.71311,75.16495,110.0,358.6,1.205
30.82664,75.1683,33.5,308.7,0.016
30.81084,75.16569,25.9,23.0,0.039
30.82005,75.15858,24.5,343.2,0.026
30.8227,75.18778,27.7,220.6,0.006
30.80908,75.18162,28.3,288.3,0.003
30.81602,75.16537,35.2,146.6,0.042
30.79057,75.17378,32.7,115.1,0.026
30.8083,75.17494,26.7,166.8,0.021
30.81448,75.18113,34.1,52.9,0.016
30.80652,75.16505,31.2,128.5,0.018
30.82956,75.18034,24.6,308.7,0.0
30.80506,75.16722,27.0,13.7,0.017
30.81298,75.16091,26.8,54.3,0.016
30.81755,75.17739,32.0,45.0,0.006
30.82803,75.18193,25.1,145.1,0.01
30.80501,75.1923,24.9,358.9,0.03
30.82581,75.162,43.8,62.4,0.014
30.81658,75.17719,35.5,52.4,0.036
30.80865,75.16832,21.9,329.4,0.002
30.8202,75.17787,32.6,317.5,0.01
30.81809,75.15984,28.9,11.6,0.0
30.8117,75.1615,31.1,270.6,0.003
30.81706,75.16539,29.1,236.0,0.007
30.81342,75.17223,37.5,276.4,0.018
30.81741,75.16647,30.8,178.0,0.018
30.8218,75.17687,27.5,356.9,0.008
30.82919,75.17982,36.3,15.8,0.007
30.8066,75.1764,29.9,84.4,0.03
30.83356,75.18455,29.0,142.8,0.012
30.80088,75.17493,30.5,161.9,0.004
30.81529,75.16186,27.3,331.7,0.018
30.82121,75.18251,28.1,201.6,0.017
30.72253,75.21365,110.0,16.2,0.522
30.81152,75.17888,22.0,146.8,0.016
30.81484,75.18419,20.0,149.9,0.003
30.81256,75.17525,16.9,347.6,0.023
30.81179,75.15963,21.0,215.7,0.005
30.8233,75.16425,26.6,228.8,0.009
30.81936,75.18218,28.8,256.8,0.021
30.81096,75.17025,25.8,277.2,0.027
30.8237,75.17224,9.2,228.6,0.031
30.81896,75.17767,40.6,85.4,0.026
30.823,75.17717,36.7,314.7,0.012
30.82154,75.17383,31.6,263.6,0.0
30.80987,75.16993,43.3,267.1,0.029
30.81202,75.1691,20.2,358.8,0.029
30.82248,75.17846,43.1,288.9,0.008
30.82138,75.17603,20.3,298.5,0.024
30.81633,75.16954,29.9,342.5,0.012
30.81744,75.18026,17.8,54.4,0.03
30.82672,75.17057,28.1,179.2,0.01
30.81177,75.16479,31.1,209.0,0.035
30.97918,75.14273,0.0,118.5,0.365
30.73864,75.10717,0.0,302.2,0.649
30.81476,75.16942,28.8,274.5,0.01
30.82529,75.18147,23.8,259.5,0.019
30.8231,75.16516,23.5,359.0,0.005
30.82301,75.17311,34.5,93.4,0.023
30.82694,75.16635,22.8,264.8,0.024
30.81667,75.16952,35.3,198.5,0.039
30.82196,75.15952,37.8,112.7,0.02
30.81402,75.16984,14.7,57.8,0.022
30.81909,75.17005,37.1,322.5,0.01
30.81546,75.17592,44.5,214.4,0.02
30.81728,75.17339,30.0,297.0,0.011
30.82126,75.16201,32.8,196.3,0.016
30.80995,75.18027,36.3,79.2,0.017
30.83324,75.17328,25.8,121.5,0.011
30.80845,75.17319,29.5,137.4,0.016
30.80679,75.17153,17.5,350.3,0.011
30.82576,75.16746,29.1,2.0,0.011
30.82283,75.17334,32.0,354.8,0.026
30.82149,75.1754,32.1,353.0,0.017
30.82153,75.15762,36.5,358.6,0.018
30.8164,75.16729,21.8,171.6,0.0
30.80932,75.16956,23.7,347.0,0.019
30.81711,75.17365,43.2,142.4,0.02
30.81108,75.18115,26.8,9.5,0.011
30.8243,75.16543,29.6,80.8,0.036
30.65906,75.06947,0.0,340.3,1.277
30.8099,75.1675,21.4,5.0,0.023
30.81393,75.16519,41.0,196.6,0.022
30.8198,75.16882,23.8,27.2,0.02
30.81199,75.17777,19.0,103.1,0.017
30.80992,75.16317,24.4,31.7,0.021
30.81845,75.17502,12.0,309.4,0.024
30.81846,75.15798,22.8,212.8,0.008
30.81244,75.16711,20.3,324.8,0.018
30.81273,75.16896,32.9,247.8,0.013
30.81836,75.185,22.6,349.6,0.004
30.80492,75.1694,35.1,183.6,0.022
30.80524,75.15399,39.2,229.9,0.009
30.81075,75.15561,34.2,207.5,0.0
30.81479,75.17187,26.3,174.3,0.01
30.81899,75.17651,29.1,304.5,0.007
30.8283,75.1746,15.8,232.0,0.025
30.82336,75.17294,26.9,288.5,0.017
30.81522,75.1809,21.1,283.1,0.029
30.81635,75.16728,33.6,68.8,0.008
30.80848,75.17876,48.6,234.1,0.024
30.81635,75.15854,32.0,71.9,0.043
30.81419,75.16436,12.1,210.0,0.019
30.81908,75.15714,25.1,243.9,0.024
30.80988,75.1694,29.0,359.0,0.022
30.82065,75.17123,28.7,11.0,0.001
30.82876,75.17251,22.2,32.8,0.021
30.81563,75.1721,30.0,27.7,0.018
30.81971,75.16418,18.1,143.4,0.012
30.82202,75.17008,20.4,295.8,0.006
30.81329,75.15962,33.2,303.9,0.022
30.81829,75.18251,19.9,265.3,0.005
30.8166,75.16917,32.3,322.9,0.036
30.81728,75.16769,17.0,116.2,0.016
30.81032,75.18431,42.1,31.7,0.003
30.8167,75.16166,21.8,20.9,0.01
30.82048,75.1626,26.2,306.8,0.012
30.82811,75.16283,30.6,263.0,0.039
30.82417,75.17106,23.5,251.5,0.006
30.83373,75.17505,29.1,122.3,0.014
30.81036,75.17752,32.6,136.8,0.01
30.82348,75.19218,35.7,344.9,0.02
30.81797,75.1536,34.3,23.0,0.01
30.83402,75.17647,26.6,278.5,0.004
30.81003,75.16714,26.8,111.5,0.013
30.80978,75.16691,46.8,14.1,0.012
30.8117,75.16664,35.6,267.3,0.009
30.79951,75.16433,20.6,119.1,0.01
30.81229,75.18508,28.8,260.0,0.027
30.81043,75.17834,25.3,254.8,0.012
30.8177,75.17179,26.9,192.5,0.004
30.75766,75.25358,110.0,279.9,0.916
30.83151,75.1595,24.7,209.2,0.016
30.8241,75.16095,42.5,103.2,0.002
30.81188,75.15418,32.6,264.3,0.031
30.80931,75.166,8.1,212.1,0.024
30.82044,75.17289,37.7,4.6,0.029
30.80594,75.17242,36.7,324.6,0.019
30.83115,75.17279,25.1,196.4,0.006
30.82594,75.16031,33.7,312.7,0.03
30.81275,75.17803,21.1,317.8,0.006
30.80279,75.17352,24.2,160.2,0.007
30.82733,75.17746,40.0,182.8,0.017
30.81558,75.15646,25.8,149.7,0.029
30.8264,75.17409,13.0,161.8,0.026
30.80374,75.1621,27.5,322.3,0.024
30.8117,75.16842,27.4,283.7,0.012
30.81654,75.17587,37.6,45.5,0.012
30.81688,75.17233,28.1,219.7,0.018
30.8129,75.16479,24.6,358.5,0.014
30.82148,75.17165,36.4,214.4,0.024
30.80796,75.15935,29.0,282.9,0.023
30.81536,75.1808,22.0,276.9,0.021
30.9039,75.20948,95.0,126.1,0.449
30.82062,75.18055,29.5,133.9,0.016
30.82219,75.16739,28.0,260.7,0.014
30.8075,75.16741,29.4,180.0,0.017
30.80423,75.16549,19.4,205.4,0.007
30.82672,75.17861,23.8,256.6,0.002
30.81916,75.16592,28.0,279.9,0.02
30.81051,75.17676,26.4,97.7,0.011
30.82891,75.16854,38.2,52.8,0.021
30.81743,75.15579,29.7,105.0,0.008
30.82593,75.16704,34.8,182.7,0.029
30.81704,75.16217,28.1,123.2,0.025
30.83299,75.17187,36.5,204.6,0.018
30.83054,75.16208,31.2,19.2,0.013
30.81451,75.17901,28.1,183.5,0.024
30.82427,75.17087,27.9,132.5,0.019
30.82166,75.17018,20.4,192.5,0.017
30.82745,75.17685,32.1,152.1,0.025
30.80878,75.17931,27.7,102.3,0.029
30.82199,75.17144,24.0,325.5,0.002
30.82497,75.16543,36.9,66.5,0.004
30.80243,75.15741,18.0,245.3,0.007
30.80703,75.16611,24.6,332.9,0.0
30.80019,75.16666,36.2,193.9,0.014
30.81434,75.17246,30.5,315.5,0.021
30.82224,75.16884,27.6,44.9,0.015
30.82852,75.1771,30.0,177.8,0.01
30.85279,75.16578,95.0,164.5,0.343
30.82953,75.17114,15.9,2.9,0.016
30.80546,75.18107,25.2,159.6,0.018
30.80287,75.17433,40.9,132.9,0.027
30.81606,75.17112,22.7,241.1,0.014
30.81957,75.16678,25.5,337.8,0.036
30.81624,75.16653,23.7,30.9,0.011
30.79996,75.1648,27.3,117.9,0.035
30.81579,75.16727,23.3,159.9,0.005
30.80606,75.17765,31.9,163.9,0.02
30.82186,75.16982,29.6,278.9,0.009
30.81943,75.1608,34.2,159.6,0.026
30.80898,75.18575,19.6,9.8,0.01
30.81239,75.17416,25.3,255.6,0.018
30.80803,75.16034,26.2,318.5,0.008
30.816,75.16807,31.6,185.0,0.024
30.82414,75.17249,21.7,209.2,0.008
30.80861,75.18524,35.3,58.7,0.032
30.82053,75.16274,37.5,79.4,0.005
30.81226,75.17941,20.1,84.7,0.002
30.81016,75.1828,24.1,155.1,0.025
30.81564,75.16657,23.7,334.1,0.009
30.80822,75.16938,49.1,187.8,0.015
30.81207,75.16331,24.6,69.2,0.012
30.80692,75.16997,41.4,95.8,0.002
30.83222,75.17131,17.9,138.2,0.014
30.81678,75.17688,20.1,224.4,0.028
30.8109,75.18032,22.5,158.4,0.025
30.81821,75.16562,21.2,141.3,0.017
30.8156,75.15586,25.9,203.3,0.026
30.81473,75.17143,22.3,87.1,0.004
30.82141,75.17395,21.4,28.4,0.012
30.82256,75.1736,37.3,8.8,0.019
30.81226,75.16899,37.8,90.5,0.014
30.81189,75.1726,35.6,33.0,0.013
30.8143,75.18372,32.2,121.1,0.003
30.79808,75.17465,28.7,278.3,0.006
30.80438,75.16861,24.0,257.9,0.023
30.75314,75.19096,0.0,219.9,0.879
30.82966,75.17024,30.9,306.9,0.024
30.81451,75.18469,18.6,101.5,0.011
30.82111,75.17013,20.0,318.6,0.008
30.91031,75.28889,85.0,143.7,0.668
30.84113,75.16774,43.2,144.3,0.024
30.82546,75.18039,31.1,145.9,0.013
30.7612,75.11637,110.0,35.3,0.832
30.80886,75.1752,26.0,351.2,0.005
30.80365,75.17226,17.3,49.9,0.013
30.81813,75.17189,32.9,122.7,0.014
30.81045,75.15253,32.6,114.9,0.027
30.80512,75.17756,28.6,26.9,0.017
30.81133,75.17267,26.1,54.8,0.032
30.80785,75.17503,35.7,16.1,0.002
30.83,75.16591,20.1,105.3,0.016
30.82355,75.16852,21.8,312.0,0.017
30.81644,75.16831,19.9,122.2,0.021
30.82834,75.17977,28.7,44.5,0.007
30.81712,75.16857,19.3,232.4,0.032
30.80961,75.18826,22.5,358.8,0.015
30.82868,75.17505,22.4,83.6,0.004
30.82081,75.16139,25.9,100.6,0.015
30.8082,75.17057,16.1,349.9,0.012
30.81498,75.16639,28.7,64.4,0.043
30.8095,75.15404,38.0,184.0,0.025
30.80544,75.1844,29.1,86.3,0.015
30.82391,75.17723,40.3,335.6,0.014
30.82216,75.22511,0.0,353.3,1.112
30.80531,75.17292,34.2,293.3,0.025
30.821,75.16054,28.6,113.3,0.014
30.81129,75.16773,28.2,145.3,0.021
30.8126,75.17833,34.1,87.2,0.015
30.81176,75.16319,24.9,320.7,0.002
30.80959,75.15135,12.9,329.2,0.024
30.81689,75.16978,31.9,150.8,0.037
30.80985,75.17047,19.0,236.4,0.021
30.81866,75.17268,20.3,59.6,0.026
30.8161,75.17743,28.0,156.6,0.033
30.81459,75.1767,27.2,227.3,0.007
30.80924,75.17367,16.7,138.7,0.004
30.81189,75.18116,29.3,128.7,0.022
30.82254,75.15945,35.7,0.4,0.013
30.82051,75.17564,19.0,289.5,0.001
30.80868,75.17661,38.2,320.2,0.014
30.81729,75.16168,15.5,349.0,0.022
30.82251,75.15958,44.9,258.9,0.014
30.80314,75.16563,24.7,197.6,0.007
30.82085,75.16631,29.2,96.9,0.013
30.8112,75.17763,12.9,359.7,0.015
30.82106,75.16668,27.5,212.3,0.004
30.81039,75.16475,29.8,245.2,0.014
30.80206,75.16671,27.3,245.7,0.002
30.68125,75.27111,0.0,304.3,1.262
30.81688,75.1717,20.4,3.5,0.001
30.81858,75.17017,37.0,79.3,0.025
30.80927,75.17072,28.2,239.6,0.011
30.87022,75.22407,110.0,322.3,0.365
30.80321,75.16561,23.8,246.7,0.018
30.81597,75.18212,24.5,148.9,0.006
30.80681,75.17328,34.5,130.2,0.018
30.81129,75.17032,15.0,265.7,0.008
30.81688,75.19161,18.3,266.8,0.009
30.80962,75.16315,36.8,218.5,0.019
30.81342,75.16877,18.6,104.9,0.004
30.82455,75.16174,13.4,333.1,0.002
30.81188,75.17922,42.9,198.7,0.017
30.82319,75.18511,16.8,284.6,0.015
30.80746,75.18496,29.5,77.2,0.017
30.82074,75.18139,28.6,123.9,0.018
30.82803,75.17002,5.5,314.8,0.016
30.79673,75.16868,25.9,18.0,0.021
30.81012,75.15823,31.6,184.4,0.016
30.82112,75.18789,30.8,173.4,0.005
30.81488,75.17535,35.2,270.4,0.002
30.81947,75.16766,24.9,101.5,0.034
30.81167,75.18222,33.7,78.9,0.015
30.81719,75.16382,22.5,333.4,0.025
30.81525,75.17485,16.7,205.8,0.012
30.82584,75.17022,17.6,37.7,0.014
30.81854,75.17671,16.3,69.5,0.01
30.8192,75.17109,36.1,359.6,0.04
30.8132,75.15999,15.9,70.4,0.018
30.8126,75.1722,30.2,219.8,0.01
30.81304,75.17999,25.9,151.2,0.002
30.81966,75.17137,27.2,318.8,0.035
30.81313,75.1778,38.9,271.9,0.013
30.81882,75.16324,24.5,214.9,0.022
30.8331,75.17139,32.9,3.9,0.024
30.82347,75.1666,28.3,316.7,0.01
30.81389,75.17758,26.8,160.1,0.022
30.82611,75.17185,46.4,335.4,0.009
30.81324,75.17712,16.5,178.4,0.005
30.8002,75.1803,38.3,249.9,0.027
30.80844,75.17713,33.3,24.9,0.013
30.80153,75.17378,24.2,268.3,0.02
30.81369,75.16361,41.0,121.7,0.019
30.81665,75.17158,13.2,126.5,0.021
30.82991,75.16734,23.8,42.7,0.001
30.81912,75.16885,18.3,52.9,0.009
30.81475,75.1686,31.3,66.9,0.012
30.82314,75.16376,19.1,118.2,0.007
30.79881,75.15594,31.5,321.1,0.019
30.81838,75.16625,26.5,132.6,0.027
30.82267,75.17315,24.2,260.8,0.028
30.80467,75.16081,31.1,29.8,0.012
30.82565,75.17173,25.9,212.8,0.018
30.81921,75.1868,19.3,173.5,0.019
30.81318,75.17978,50.0,352.1,0.021
30.82156,75.18475,24.1,304.6,0.006
30.83467,75.17473,10.3,163.7,0.033
30.81795,75.18094,21.3,279.1,0.024
30.81849,75.16581,17.9,69.5,0.025
30.81283,75.16645,34.6,202.4,0.027
30.8097,75.14969,30.6,26.9,0.02
30.84904,75.05453,0.0,125.3,0.612
30.80965,75.18392,25.0,81.3,0.014
30.81707,75.16717,25.8,258.8,0.002
30.81268,75.16957,25.0,176.4,0.019
30.82033,75.16557,27.4,270.4,0.013
30.81917,75.17466,34.7,185.5,0.015
30.8248,75.1806,30.7,31.1,0.027
30.69701,75.2602,85.0,264.7,1.176
30.81434,75.17488,32.0,300.0,0.012
30.80867,75.16939,35.1,325.3,0.015
30.81295,75.17251,30.3,205.9,0.003
30.81952,75.17527,30.9,271.3,0.012
30.82256,75.17009,37.5,270.7,0.01
30.80912,75.17077,22.7,56.1,0.009
30.82346,75.16989,21.2,59.1,0.024
30.82735,75.17936,18.5,25.5,0.019
30.81981,75.17495,29.5,115.2,0.009
30.83151,75.17336,13.2,170.5,0.015
30.81031,75.16143,31.7,359.2,0.004
30.80654,75.16857,27.1,155.2,0.015
30.80227,75.17879,37.1,261.4,0.044
30.82847,75.1719,22.6,249.6,0.033
30.82173,75.17688,26.4,73.6,0.016
30.81606,75.18573,37.0,21.1,0.017
30.81874,75.17991,39.1,196.6,0.005
30.8075,75.17235,22.6,252.1,0.007
30.83607,75.16751,29.5,359.4,0.019
30.81753,75.15117,30.4,129.1,0.01
30.81738,75.17025,31.0,322.7,0.024
30.82231,75.16899,25.9,137.5,0.031
30.82035,75.17472,38.3,248.2,0.018
30.81829,75.17037,12.9,215.4,0.016
30.81018,75.16904,24.6,19.1,0.002
30.82027,75.15736,31.6,28.2,0.022
30.83156,75.16408,31.7,7.5,0.004
30.82726,75.17541,38.8,133.5,0.011
30.82925,75.18533,37.6,268.5,0.025
30.81241,75.17082,25.7,62.2,0.025
30.80858,75.17422,38.4,218.1,0.01
30.81549,75.17922,22.3,104.0,0.011
30.81695,75.16511,35.4,286.9,0.008
30.82525,75.17453,42.5,287.4,0.003
30.80296,75.16568,37.7,279.1,0.009
30.82874,75.17852,28.8,188.9,0.001
30.81524,75.17281,25.3,102.4,0.022
30.81308,75.17399,15.8,291.4,0.019
30.8084,75.16534,30.5,67.0,0.021
