segment_id,hour_of_day,day_of_week,weather,cumulative_delay,actual_travel_time
17,20,6,1,2.4,29.2
17,6,6,1,2.1,27.78
12,6,0,0,1.2,14.77
7,20,0,0,3.8,11.9
2,12,3,0,2.3,4.66
3,12,5,0,8.1,11.35
17,7,5,1,0.8,26.27
5,14,2,1,1.1,8.64
17,14,2,0,1.1,20.7
17,10,3,0,4.9,34.1
17,20,4,2,0.3,28.84
2,20,2,0,1.8,3.9
2,8,1,1,1.7,5.11
5,8,2,1,0.2,10.13
1,17,4,0,1.6,3.08
1,8,5,0,2.2,2.76
19,11,0,1,0.2,27.15
2,9,0,0,2.1,7.16
12,13,5,0,9.6,24.05
6,20,0,1,11.6,20.98
4,18,2,1,2.3,12.22
11,16,6,0,2.2,15.77
17,18,0,0,1.0,31.73
6,16,6,0,17.5,23.32
5,16,4,0,1.0,6.78
2,10,6,0,1.8,4.96
6,6,4,0,0.0,8.17
11,14,2,0,1.3,15.17
16,6,5,0,0.2,19.24
16,11,1,0,4.1,23.99
1,6,2,0,2.5,4.23
9,8,0,0,2.5,18.45
6,20,2,0,1.0,7.92
16,15,4,2,5.1,30.01
3,10,2,0,0.0,4.93
4,20,2,0,1.2,4.89
19,15,1,2,3.2,34.5
3,12,4,0,7.2,11.27
19,19,3,1,0.8,40.02
7,15,3,0,2.3,10.57
9,13,4,0,2.3,13.77
1,17,3,0,6.2,7.12
8,14,0,0,0.2,10.39
7,21,3,0,1.7,10.33
18,11,0,0,0.6,22.51
8,20,4,0,0.1,9.09
1,16,3,2,0.5,4.91
11,14,3,0,11.2,24.79
18,13,5,0,0.7,22.44
10,14,6,0,8.2,20.21
3,15,0,0,0.7,3.8
7,9,0,1,8.0,22.32
16,14,2,0,3.2,22.57
16,20,1,0,0.4,18.69
17,12,3,1,2.6,28.37
2,10,5,1,1.2,6.51
1,10,1,0,1.4,2.49
16,6,6,0,1.7,20.04
12,7,6,0,1.6,15.99
5,15,5,0,3.3,9.96
5,8,1,0,4.4,13.81
9,19,3,0,1.2,17.08
9,19,6,2,7.7,28.26
3,13,5,0,8.4,12.05
19,11,0,0,0.1,23.53
16,17,2,0,0.0,27.92
16,15,5,0,1.7,20.2
3,16,4,0,2.7,6.95
1,18,6,0,1.0,3.32
11,20,6,0,0.9,13.86
17,19,3,0,3.4,34.84
8,10,3,0,2.8,18.28
4,18,4,0,0.5,7.44
6,6,6,0,6.5,13.97
8,17,1,0,3.4,17.27
3,16,2,0,1.4,5.58
16,17,1,0,3.5,31.01
3,14,4,1,0.4,5.75
18,8,4,1,1.9,40.49
14,8,2,0,0.6,24.02
18,7,4,1,0.1,26.46
2,9,4,0,1.2,4.77
3,17,6,1,0.5,7.13
16,7,5,0,3.0,21.1
9,21,6,0,3.4,14.49
4,18,2,0,0.5,7.35
1,14,3,0,0.1,1.0
4,17,1,2,4.7,15.5
1,15,3,0,0.0,1.28
14,12,3,0,1.3,18.33
16,13,5,0,2.0,20.29
8,8,1,0,5.1,19.32
7,11,3,0,5.5,13.05
3,20,2,0,3.9,7.71
17,15,1,0,0.9,21.88
1,11,0,1,3.8,4.47
16,18,5,0,0.8,27.78
12,6,3,0,0.7,15.05
19,11,4,0,2.4,24.57
14,21,1,2,3.4,26.27
6,18,0,0,0.2,10.05
6,19,4,0,0.2,9.36
13,8,0,2,4.6,37.32
19,16,3,0,5.9,28.96
8,21,4,0,2.8,12.44
2,8,3,0,1.7,3.03
1,8,4,2,5.6,8.54
15,15,1,2,3.9,30.01
1,16,6,1,2.6,4.19
5,20,2,0,1.2,8.04
16,16,6,0,0.7,20.17
19,20,2,0,1.6,24.36
4,15,6,1,1.0,6.33
3,16,0,2,1.2,4.93
17,13,5,0,2.2,22.17
17,18,4,0,0.6,30.05
12,21,3,0,4.9,19.55
14,10,5,0,0.5,24.65
6,9,1,0,2.0,11.96
3,18,1,0,4.1,9.1
9,14,1,0,2.0,12.54
5,14,2,0,1.3,8.07
17,6,3,1,1.9,27.32
14,7,1,1,5.7,28.36
3,13,1,2,13.9,19.2
1,10,6,1,3.0,4.75
1,21,0,0,4.7,5.32
3,12,4,0,0.0,3.62
18,6,4,2,6.4,37.49
10,17,4,0,9.2,26.77
3,15,5,0,2.6,5.37
8,17,6,0,4.2,18.36
14,10,6,1,2.2,32.9
18,16,0,0,1.0,23.37
15,17,2,0,5.7,33.6
2,8,5,0,2.7,7.02
10,15,0,1,2.6,17.8
2,17,1,0,3.2,7.05
17,17,3,0,5.8,34.35
8,19,5,0,3.9,18.67
1,7,5,1,0.7,2.08
9,7,1,1,1.9,15.64
11,14,1,0,11.8,25.35
16,18,3,0,2.4,29.83
7,9,4,2,8.4,26.44
10,21,5,0,5.0,16.88
3,9,0,1,3.3,9.91
18,12,2,0,1.3,23.58
13,15,1,0,1.1,16.66
7,21,1,1,3.1,13.76
4,15,2,0,1.7,5.37
13,18,0,0,4.8,26.95
1,7,1,0,4.3,5.37
8,8,2,1,1.1,20.96
14,8,6,0,3.6,29.17
16,11,1,0,2.0,21.16
14,8,4,2,1.2,36.52
12,16,4,0,1.6,15.62
19,10,1,0,6.8,38.65
15,9,6,0,1.3,26.33
2,8,1,2,1.0,7.21
2,13,4,0,1.3,4.17
19,19,6,0,0.7,35.13
17,15,1,0,2.4,22.58
10,8,6,1,0.5,20.13
6,11,0,1,5.1,13.94
15,18,0,0,0.8,26.2
11,20,3,0,2.7,15.64
5,12,0,1,0.4,8.32
1,12,5,0,11.5,13.13
8,7,6,2,1.8,15.9
12,19,5,0,5.2,26.03
12,8,5,0,4.4,25.75
5,17,1,0,3.8,12.15
7,15,1,1,5.3,14.64
4,15,2,0,0.3,5.27
6,20,6,0,3.4,10.7
13,9,5,0,0.9,22.75
15,12,5,0,4.6,23.98
3,7,0,0,9.4,13.04
8,8,4,0,7.0,20.48
16,12,6,1,0.4,23.73
13,12,4,0,1.4,16.02
18,21,6,1,1.4,28.21
10,20,6,0,0.4,12.89
19,15,3,0,0.3,24.03
17,8,2,0,1.5,31.94
19,17,4,2,14.5,60.94
5,6,3,1,2.5,9.36
9,17,0,0,2.9,18.1
12,8,2,1,1.9,28.2
1,10,2,0,3.3,5.27
1,12,5,0,9.4,9.54
15,9,6,0,2.7,28.75
2,18,6,0,0.2,2.89
16,18,1,0,2.0,30.81
8,16,6,1,14.8,25.94
13,16,6,0,1.5,17.44
1,21,6,1,2.7,2.95
16,20,5,0,0.3,18.8
7,6,0,0,0.5,9.18
5,11,6,1,6.2,14.66
3,7,5,1,1.1,6.3
12,17,2,2,1.1,30.17
16,8,5,0,1.5,28.44
19,9,6,1,10.2,51.29
5,11,3,1,0.3,7.71
14,11,5,0,5.1,21.55
5,12,4,0,1.3,8.2
15,10,0,0,5.7,31.58
17,12,0,0,14.4,34.83
14,7,2,0,1.3,18.68
5,6,5,2,0.4,8.74
12,17,2,0,0.5,21.09
16,15,2,1,4.3,28.38
16,13,3,0,0.5,20.53
7,6,1,0,0.9,9.12
4,17,2,0,0.7,7.93
1,7,1,0,1.3,2.77
5,16,1,1,0.2,6.5
10,17,0,2,5.8,29.65
5,15,4,0,5.9,12.34
4,11,4,1,1.6,7.85
2,6,5,0,2.8,4.64
10,15,3,0,3.1,16.17
19,8,3,0,4.1,37.21
1,12,4,0,2.2,4.45
5,17,5,0,2.1,10.87
13,13,6,0,3.0,18.93
4,9,4,0,3.6,11.5
16,17,5,1,1.3,36.22
16,8,5,0,1.2,27.74
2,6,5,0,0.9,3.04
17,17,5,0,2.4,31.28
12,14,0,1,1.3,18.53
18,15,0,1,2.3,30.36
3,11,4,1,1.6,6.8
1,21,5,0,5.4,7.06
1,11,2,0,0.2,1.4
19,14,5,1,2.5,31.43
11,6,2,0,2.6,15.21
5,11,0,0,1.5,6.49
12,17,5,0,1.6,21.7
3,10,1,0,4.8,9.21
1,18,4,0,1.0,2.92
1,16,5,0,6.2,7.31
8,21,3,0,6.8,17.1
10,20,2,0,3.2,15.02
11,11,6,2,4.4,22.54
12,19,6,0,2.8,24.24
13,16,5,0,2.2,16.37
12,13,1,0,10.2,25.3
14,10,2,0,1.0,26.2
2,7,1,0,0.5,3.31
19,17,6,0,1.0,35.56
18,17,4,0,2.9,34.65
3,7,6,0,0.6,3.95
17,15,4,1,7.2,32.97
8,21,4,0,1.6,11.36
10,10,0,0,5.7,21.11
2,8,6,0,0.9,4.31
19,15,6,2,1.1,33.71
9,8,1,0,0.2,15.01
7,13,5,1,0.9,12.22
4,12,3,0,2.0,7.16
18,6,3,0,8.8,29.85
13,17,4,0,1.5,24.53
11,18,3,0,3.1,21.51
4,17,2,0,1.7,7.92
4,10,1,0,0.1,6.94
10,21,1,0,2.1,15.96
5,14,1,0,0.2,6.56
9,9,2,0,6.5,22.21
3,6,5,1,4.2,9.1
17,13,0,1,1.4,27.03
3,10,2,0,3.1,9.13
16,7,1,2,0.4,27.8
4,20,1,0,3.6,7.65
18,17,6,0,5.2,36.6
17,6,1,0,5.2,26.09
7,19,5,0,1.0,13.38
5,17,3,0,0.9,9.2
12,17,0,0,2.2,22.85
17,17,2,0,10.3,40.61
13,8,1,0,7.6,28.93
3,14,6,1,1.3,5.39
9,6,6,1,4.5,16.91
17,9,4,0,7.6,37.12
17,13,0,0,0.9,21.51
16,13,6,0,5.3,23.98
13,15,4,0,0.9,15.88
19,17,0,0,1.3,35.06
17,16,1,0,0.7,20.0
4,18,0,0,2.1,9.29
12,16,0,0,5.6,19.07
9,13,1,2,2.3,17.37
19,15,5,1,0.4,28.55
12,21,6,0,0.9,15.35
9,13,4,0,2.5,13.77
7,21,5,2,2.6,13.1
14,9,4,0,2.6,27.1
19,13,3,0,0.2,23.26
15,14,6,0,4.2,21.09
16,12,4,0,7.2,26.6
5,19,4,1,2.1,12.79
3,17,0,0,3.8,10.1
12,7,3,0,7.4,22.21
4,14,1,0,3.1,8.51
16,16,1,0,3.4,22.23
7,13,2,0,3.8,11.97
13,18,3,1,0.9,28.37
10,10,0,0,2.6,19.56
7,20,2,0,5.5,13.58
14,17,2,0,1.1,25.18
5,8,1,0,6.8,15.68
3,12,4,0,2.9,7.0
11,19,0,0,1.7,20.53
11,19,3,0,2.9,23.23
18,20,2,0,1.5,23.14
15,7,0,0,5.5,22.62
12,18,1,2,2.0,32.24
9,8,2,0,6.9,22.95
10,17,2,0,2.1,18.89
12,21,5,0,3.2,17.06
17,14,1,0,18.3,38.74
6,9,5,0,0.5,10.54
7,9,1,0,4.0,16.4
14,8,1,0,0.4,24.95
13,10,5,0,5.5,27.91
8,8,6,0,2.7,18.2
10,14,0,0,8.3,19.35
9,20,0,0,6.0,16.64
18,8,6,0,0.2,30.1
2,7,0,1,0.4,3.52
5,17,4,2,2.8,15.02
5,10,2,0,2.2,11.22
6,21,0,0,0.6,8.06
19,11,4,0,0.4,24.32
8,6,2,0,2.5,11.89
16,19,0,0,0.2,28.58
13,17,1,0,6.2,28.62
1,16,6,1,4.9,6.71
17,11,3,0,4.6,24.17
7,15,0,0,0.0,9.56
13,8,3,1,0.1,27.93
4,9,0,0,2.4,11.08
4,11,1,0,15.6,20.45
6,13,6,0,1.3,8.7
19,20,6,0,1.3,23.56
12,14,3,0,0.4,13.93
7,11,4,0,3.4,12.43
10,21,1,0,3.1,15.83
19,12,3,0,0.3,23.17
7,20,3,0,1.9,10.27
3,19,5,1,3.3,11.87
13,10,5,0,2.0,25.21
13,19,1,0,3.4,25.4
18,17,1,0,5.1,36.9
8,20,1,0,3.5,12.14
9,14,2,0,2.9,12.68
7,9,4,1,5.8,21.76
1,15,0,0,6.9,7.2
3,16,5,1,1.5,6.02
13,11,6,1,0.6,19.63
17,10,6,2,5.1,45.87
1,6,3,0,0.7,1.29
6,10,5,2,7.9,23.27
6,18,0,0,0.1,9.78
12,10,1,0,7.6,27.72
13,19,6,0,2.7,25.53
13,14,5,2,4.5,25.79
15,6,4,0,1.5,18.52
16,20,4,0,14.4,32.63
11,10,2,0,0.8,19.97
5,20,5,0,0.9,6.1
4,12,1,0,0.2,4.57
3,16,3,1,8.5,14.09
19,11,2,2,1.8,32.46
18,11,1,1,3.4,30.13
15,17,2,0,3.5,29.08
9,21,5,0,6.2,17.52
17,12,0,0,3.3,24.3
14,11,6,0,2.5,18.08
15,10,5,0,3.7,30.39
1,21,1,1,4.2,7.17
3,15,3,0,0.6,5.49
16,10,3,1,0.3,35.58
11,14,1,2,0.2,18.9
12,19,2,0,1.4,21.47
10,13,4,2,2.1,17.15
16,19,1,1,2.9,38.04
8,17,6,0,9.5,22.97
6,20,5,0,1.2,8.92
12,15,3,0,4.3,19.25
8,19,0,0,2.3,18.13
4,9,3,0,0.7,8.37
8,9,4,0,2.9,15.81
18,15,3,0,10.2,31.84
5,10,4,0,0.4,8.95
9,18,6,0,2.1,17.5
4,18,1,0,0.2,6.65
17,8,3,0,1.2,31.02
9,20,2,0,2.9,13.02
1,13,5,0,5.5,7.59
13,12,2,1,3.9,23.48
16,10,5,0,1.9,29.86
13,15,3,0,7.2,23.1
14,8,6,0,1.1,24.09
3,20,3,0,4.2,7.49
6,10,5,0,1.9,13.86
18,8,6,0,6.9,38.43
19,21,0,1,4.8,32.78
5,15,6,1,7.0,15.1
15,10,3,0,0.7,25.13
2,21,0,1,3.3,4.88
10,6,0,0,4.0,17.2
18,21,5,2,4.1,35.32
13,11,0,0,2.1,16.97
5,15,0,0,0.0,4.56
1,21,1,0,0.9,2.33
1,21,6,0,1.2,3.48
18,9,2,1,5.7,43.94
15,9,0,0,5.5,31.7
17,21,2,0,0.3,21.15
11,13,0,0,9.0,22.8
17,7,2,0,0.6,21.15
13,9,3,0,1.6,24.69
1,20,3,2,0.7,1.85
2,7,2,1,5.9,8.68
9,6,6,0,4.2,15.07
3,15,0,0,1.3,4.47
1,18,1,0,3.4,4.72
16,18,6,1,0.6,34.91
6,8,2,2,1.4,15.32
17,17,6,0,1.4,32.4
5,13,4,1,0.8,7.95
5,11,1,0,6.3,10.96
6,17,4,0,3.4,13.54
3,12,2,2,1.0,5.73
5,7,0,0,0.8,7.1
5,11,6,0,0.1,6.63
10,19,6,0,1.3,19.48
10,13,4,0,2.2,14.62
19,13,6,0,1.0,24.38
17,9,2,2,3.6,47.11
14,11,1,0,1.6,19.04
9,19,0,1,1.1,21.29
14,10,4,0,8.4,32.84
1,14,6,0,0.9,2.95
19,13,2,2,1.5,33.41
13,7,0,0,1.4,15.97
13,17,0,0,0.8,22.72
4,21,3,0,0.7,4.53
1,18,0,0,1.1,3.54
17,12,2,0,6.0,26.78
8,21,1,1,4.4,15.77
2,12,5,2,3.4,5.98
8,16,3,0,1.8,11.74
7,19,2,1,2.1,14.23
2,19,2,1,0.9,5.7
3,17,2,1,0.2,6.92
18,6,4,0,1.2,23.17
12,6,6,0,2.1,17.06
1,17,4,0,0.2,1.0
12,9,1,0,0.3,20.35
5,10,2,0,0.9,9.47
17,20,6,0,1.4,21.4
16,9,4,0,1.5,27.04
15,12,4,0,0.4,18.51
15,21,4,0,0.8,19.25
5,21,1,0,0.9,6.03
14,8,1,1,0.2,30.69
2,12,2,0,1.2,2.33
11,18,3,1,0.2,25.84
19,13,2,2,3.6,36.48
7,11,4,1,1.5,11.98
6,11,5,1,1.2,10.6
2,21,6,2,0.4,3.27
6,13,4,0,0.8,8.71
18,13,0,2,0.8,30.72
2,12,5,1,12.6,13.58
18,11,5,1,5.4,32.91
15,11,6,0,0.0,18.64
19,15,2,0,2.9,25.89
2,21,4,0,0.9,3.87
6,16,4,0,0.3,8.48
1,21,3,1,3.7,4.9
15,18,0,0,0.4,26.23
10,18,2,0,1.8,18.12
19,11,1,0,3.0,26.63
17,13,2,0,2.4,23.1
5,6,5,0,11.4,17.51
4,10,2,0,4.6,11.61
10,21,3,0,4.5,15.99
17,8,2,0,1.3,31.13
10,17,3,0,0.0,18.41
17,13,5,2,4.0,33.41
5,16,3,1,24.7,32.37
2,11,6,1,1.6,4.9
6,19,6,0,12.7,22.26
2,7,4,0,0.5,2.03
13,20,1,0,1.1,17.43
11,18,5,2,0.6,27.2
11,12,3,1,1.9,18.77
16,21,0,0,4.8,23.68
11,12,5,1,1.2,17.96
19,18,0,0,7.1,39.78
15,10,1,0,2.4,29.68
16,13,3,0,1.9,21.08
11,19,5,0,4.6,24.24
16,10,5,0,0.3,28.99
8,6,1,1,4.5,16.21
4,14,4,0,0.8,3.92
8,9,0,0,1.0,14.14
4,18,5,2,2.7,12.28
3,7,2,0,7.0,10.94
3,9,0,0,2.6,7.91
18,19,3,0,3.1,33.59
19,18,1,0,4.5,36.54
19,14,0,0,0.9,22.34
5,7,2,0,5.3,13.04
18,21,6,0,1.6,24.68
10,9,2,0,0.6,16.99
6,7,1,1,1.3,10.72
1,10,1,1,0.8,3.78
5,8,6,1,0.8,12.26
9,15,0,0,1.0,12.04
12,7,3,0,0.6,14.22
14,19,4,1,3.3,35.05
2,14,2,0,2.6,4.84
17,21,1,0,3.1,23.05
14,10,4,1,1.3,31.84
13,15,4,0,4.4,19.81
9,10,4,0,0.4,15.56
15,6,3,1,2.5,24.87
15,11,1,2,1.0,25.5
11,18,2,0,2.2,21.54
16,12,1,0,1.2,20.82
17,6,0,0,4.7,24.94
4,14,2,1,6.7,13.73
1,13,1,0,4.1,5.17
8,17,2,0,0.6,15.22
17,19,0,2,1.0,43.07
3,19,5,0,7.6,12.77
15,13,2,2,1.7,26.55
15,12,5,2,8.5,34.17
14,10,4,0,1.5,26.39
14,8,6,1,9.1,39.89
2,20,3,0,7.8,10.12
13,17,0,1,3.2,31.82
14,19,2,1,0.0,30.21
19,14,0,0,1.5,23.23
7,19,4,1,7.3,22.72
3,12,5,1,6.5,10.4
15,16,3,0,0.6,18.05
14,15,0,0,1.5,18.27
11,15,5,0,5.4,18.49
15,13,4,0,2.6,19.62
13,19,4,2,5.6,36.45
18,11,4,1,5.3,30.45
6,17,6,0,7.1,17.05
3,19,5,0,0.4,6.08
19,16,2,0,0.5,24.07
15,19,1,0,0.3,26.93
5,10,0,0,8.2,16.29
10,20,6,0,1.9,14.2
7,13,1,0,0.2,7.7
17,8,4,2,1.2,45.01
7,17,1,0,1.3,12.93
12,18,5,0,5.0,26.32
17,18,4,0,4.0,34.01
13,12,6,2,3.5,24.68
4,7,4,1,0.1,5.92
10,8,3,1,7.2,28.44
3,20,3,0,0.7,3.81
9,18,6,0,3.0,17.94
13,17,5,0,0.2,23.39
18,20,5,0,0.3,21.09
15,7,1,0,0.0,17.89
4,10,6,2,2.5,11.54
15,12,0,0,3.0,21.11
2,16,6,0,0.2,2.62
15,15,1,1,1.0,24.6
8,16,5,0,5.7,15.11
8,16,0,0,0.3,10.39
17,16,6,0,0.7,21.07
12,20,1,0,1.7,15.4
19,15,2,1,5.5,34.62
10,20,2,0,0.9,12.55
9,20,0,1,17.6,30.53
5,20,3,1,1.3,8.32
6,18,0,1,1.5,15.36
2,19,1,0,0.4,4.75
13,6,4,0,3.4,19.9
6,18,2,0,0.8,11.43
5,15,4,0,3.0,9.61
1,14,2,1,0.8,3.33
6,6,1,0,1.5,9.26
6,6,2,1,5.8,14.13
16,19,0,0,4.0,32.89
4,20,4,0,0.5,4.63
11,21,5,1,2.8,19.35
9,17,4,0,3.0,16.97
3,15,1,1,0.3,5.95
19,13,5,0,1.9,23.61
8,11,4,2,0.9,14.32
5,11,6,0,1.9,6.42
4,17,1,1,4.5,13.28
6,14,6,0,0.5,7.36
2,20,3,0,0.4,3.03
11,9,0,2,0.9,28.77
4,13,2,1,9.1,15.27
15,21,6,0,4.1,22.48
6,9,2,0,0.1,11.17
17,19,2,0,1.5,30.63
6,7,3,0,0.9,9.11
19,16,0,1,3.0,30.52
2,20,4,0,1.8,4.44
15,13,6,0,10.0,27.41
11,21,4,0,0.7,13.09
8,17,0,0,2.7,16.15
19,12,5,1,3.6,32.89
13,9,0,2,5.2,38.76
12,14,2,0,1.6,15.65
5,20,4,1,3.5,11.02
6,14,0,0,1.1,10.22
4,13,4,0,1.7,6.89
19,19,0,0,6.8,41.21
1,6,1,0,9.0,10.9
17,12,6,0,3.8,24.13
12,10,2,0,1.4,22.07
15,12,0,1,5.1,27.27
1,17,3,1,0.1,2.77
14,14,0,2,0.3,23.65
6,7,1,0,3.2,10.36
5,18,3,0,1.0,8.67
11,19,3,0,9.1,29.44
4,16,0,0,1.7,7.71
13,9,1,0,1.7,24.61
11,9,3,0,3.4,23.03
3,7,6,0,4.4,8.15
1,8,2,0,1.9,4.52
6,21,5,0,0.7,7.33
18,16,2,0,4.5,25.43
10,19,4,0,1.2,19.64
5,19,4,0,0.6,8.64
10,18,1,1,3.0,24.92
12,13,3,0,0.3,14.8
2,17,2,1,10.7,16.17
13,14,2,0,3.0,19.54
8,11,5,0,12.8,22.41
2,15,1,1,1.2,5.53
1,7,6,0,10.6,12.17
5,7,3,0,0.5,6.91
9,12,1,1,0.1,12.76
17,13,0,0,0.1,19.85
9,13,2,0,1.9,11.96
11,19,1,1,0.3,23.93
15,11,1,1,2.2,23.64
6,15,5,0,1.2,9.45
3,21,6,0,1.2,5.19
17,13,0,1,3.0,28.02
5,19,4,0,0.5,6.85
12,20,2,0,4.4,18.61
18,6,5,0,2.6,24.39
14,14,6,2,7.4,30.88
11,18,6,0,1.4,18.47
9,21,1,1,12.2,25.22
2,17,2,0,2.6,7.05
12,6,4,0,10.9,23.98
3,18,6,1,0.1,6.23
3,8,1,2,3.9,11.83
1,17,6,0,5.1,8.73
8,21,0,0,0.2,8.56
8,14,6,2,2.6,17.94
11,20,2,0,4.9,18.65
9,16,6,0,2.5,13.79
5,10,6,0,0.2,8.66
14,14,5,1,3.5,24.33
3,21,0,1,0.2,5.07
5,14,4,2,5.1,14.03
5,11,4,0,0.1,5.03
19,16,2,0,0.4,23.23
14,6,4,0,1.0,18.76
4,15,3,0,3.0,8.54
13,12,5,0,11.2,27.83
10,19,2,0,0.4,18.1
18,11,6,0,0.5,21.78
8,14,3,0,1.4,11.06
8,12,4,0,5.4,14.9
7,19,6,1,1.9,18.14
8,17,2,0,1.2,16.07
14,16,3,0,2.5,18.82
19,17,4,0,0.9,33.28
6,18,1,1,1.5,15.45
1,9,1,0,1.2,2.25
15,12,0,0,4.9,22.12
1,7,1,0,7.7,9.18
17,11,3,0,4.3,25.63
1,20,5,1,1.7,2.77
15,11,1,0,2.1,20.13
2,21,2,0,0.4,3.99
14,7,2,0,4.1,20.49
8,19,2,0,2.7,16.24
8,9,1,0,7.0,20.82
19,13,6,0,0.7,22.96
7,13,1,1,4.3,15.37
19,18,0,1,3.5,43.68
6,13,5,1,0.9,10.83
6,13,6,0,3.3,10.42
3,6,5,0,7.7,11.73
7,7,6,0,7.5,15.93
19,17,6,0,3.8,36.24
8,20,4,0,0.1,9.88
10,9,0,2,6.2,31.42
15,17,3,0,3.2,29.83
15,14,2,2,1.1,26.46
