ble_count,actual_passengers,occupancy_tier
19,27,seated
19,27,seated
33,43,crowded
31,43,crowded
15,19,seated
23,29,seated
7,10,empty
41,57,crowded
39,54,crowded
23,27,seated
19,24,seated
30,38,seated
23,32,seated
1,0,empty
44,56,crowded
23,26,seated
47,56,crowded
43,51,crowded
8,12,empty
26,40,crowded
1,2,empty
25,38,seated
3,5,empty
7,7,empty
20,26,seated
6,8,empty
24,36,seated
23,32,seated
36,50,crowded
25,41,crowded
33,43,crowded
17,23,seated
12,14,empty
37,58,crowded
34,53,crowded
23,31,seated
21,31,seated
20,23,seated
30,40,crowded
40,51,crowded
37,48,crowded
31,48,crowded
37,57,crowded
40,51,crowded
8,11,empty
24,38,seated
0,1,empty
0,2,empty
33,48,crowded
30,36,seated
37,48,crowded
43,55,crowded
13,16,seated
44,58,crowded
36,48,crowded
0,1,empty
1,1,empty
19,27,seated
36,53,crowded
17,22,seated
27,36,seated
25,31,seated
27,32,seated
0,0,empty
15,18,seated
3,1,empty
34,52,crowded
30,43,crowded
17,25,seated
28,31,seated
8,5,empty
21,31,seated
40,54,crowded
3,3,empty
44,54,crowded
9,10,empty
45,55,crowded
40,58,crowded
12,16,seated
28,37,seated
18,23,seated
0,4,empty
36,51,crowded
30,33,seated
1,5,empty
14,21,seated
7,10,empty
40,47,crowded
10,15,seated
24,32,seated
8,8,empty
41,59,crowded
47,58,crowded
4,5,empty
11,15,seated
24,28,seated
2,2,empty
13,19,seated
46,59,crowded
41,58,crowded
20,35,seated
11,18,seated
19,25,seated
0,2,empty
14,18,seated
13,19,seated
24,31,seated
5,6,empty
40,51,crowded
29,40,crowded
27,32,seated
31,39,crowded
29,38,seated
12,17,seated
26,39,crowded
2,0,empty
6,10,empty
20,27,seated
40,56,crowded
17,24,seated
37,49,crowded
16,22,seated
23,30,seated
22,29,seated
29,41,crowded
24,34,seated
3,6,empty
42,59,crowded
9,15,seated
16,25,seated
34,47,crowded
47,56,crowded
38,51,crowded
48,59,crowded
35,48,crowded
4,1,empty
1,0,empty
35,47,crowded
8,11,empty
5,4,empty
30,36,seated
24,31,seated
46,58,crowded
41,54,crowded
7,8,empty
27,40,crowded
20,34,seated
13,18,seated
31,47,crowded
8,15,seated
0,2,empty
14,19,seated
16,23,seated
43,53,crowded
43,55,crowded
24,32,seated
20,23,seated
29,51,crowded
5,10,empty
38,48,crowded
7,7,empty
27,35,seated
28,37,seated
24,39,crowded
14,19,seated
25,34,seated
38,47,crowded
18,24,seated
22,34,seated
18,24,seated
19,28,seated
11,17,seated
37,45,crowded
10,17,seated
0,1,empty
42,53,crowded
24,34,seated
12,15,seated
29,40,crowded
24,35,seated
22,32,seated
3,3,empty
24,32,seated
10,13,empty
14,20,seated
38,47,crowded
13,19,seated
44,55,crowded
6,7,empty
6,6,empty
1,2,empty
8,16,seated
24,32,seated
40,47,crowded
7,11,empty
40,58,crowded
35,50,crowded
19,21,seated
41,54,crowded
15,21,seated
30,45,crowded
22,29,seated
26,37,seated
30,37,seated
33,44,crowded
35,50,crowded
35,53,crowded
4,7,empty
18,26,seated
19,26,seated
27,33,seated
15,20,seated
22,29,seated
19,32,seated
17,27,seated
36,46,crowded
26,32,seated
4,4,empty
48,59,crowded
37,47,crowded
16,18,seated
4,3,empty
30,34,seated
32,48,crowded
10,16,seated
32,43,crowded
23,27,seated
23,29,seated
18,28,seated
31,45,crowded
46,52,crowded
5,5,empty
30,34,seated
49,59,crowded
30,40,crowded
26,36,seated
15,23,seated
18,28,seated
40,48,crowded
32,45,crowded
43,52,crowded
22,30,seated
28,34,seated
47,59,crowded
20,32,seated
35,51,crowded
17,20,seated
26,31,seated
16,22,seated
25,32,seated
1,2,empty
14,17,seated
20,24,seated
30,41,crowded
27,30,seated
44,53,crowded
50,57,crowded
0,2,empty
28,39,crowded
33,45,crowded
19,23,seated
43,49,crowded
20,31,seated
36,46,crowded
17,21,seated
17,22,seated
0,1,empty
18,26,seated
31,41,crowded
0,1,empty
18,25,seated
8,16,seated
26,39,crowded
24,32,seated
7,8,empty
36,42,crowded
40,53,crowded
37,47,crowded
26,38,seated
17,28,seated
31,41,crowded
35,54,crowded
18,25,seated
28,34,seated
34,49,crowded
19,24,seated
16,23,seated
10,12,empty
38,59,crowded
42,57,crowded
3,6,empty
39,56,crowded
27,35,seated
29,44,crowded
12,19,seated
0,0,empty
7,7,empty
34,45,crowded
9,15,seated
8,13,empty
10,11,empty
39,50,crowded
15,22,seated
11,14,empty
19,27,seated
24,33,seated
0,1,empty
23,31,seated
17,22,seated
17,21,seated
35,50,crowded
17,24,seated
36,57,crowded
17,21,seated
43,57,crowded
41,57,crowded
18,21,seated
37,48,crowded
33,51,crowded
31,41,crowded
3,5,empty
13,14,empty
39,53,crowded
27,42,crowded
39,59,crowded
29,36,seated
28,32,seated
6,7,empty
39,52,crowded
41,59,crowded
31,43,crowded
28,43,crowded
3,4,empty
33,38,seated
0,3,empty
5,5,empty
33,44,crowded
24,31,seated
39,51,crowded
23,29,seated
31,46,crowded
26,34,seated
45,54,crowded
32,39,crowded
37,51,crowded
12,15,seated
10,12,empty
37,49,crowded
46,59,crowded
28,41,crowded
24,29,seated
11,18,seated
12,16,seated
48,55,crowded
15,18,seated
18,27,seated
47,57,crowded
41,54,crowded
18,25,seated
28,36,seated
19,25,seated
39,52,crowded
17,22,seated
7,8,empty
9,11,empty
39,52,crowded
0,0,empty
39,57,crowded
37,57,crowded
0,0,empty
32,46,crowded
23,33,seated
20,31,seated
37,53,crowded
33,47,crowded
19,24,seated
27,39,crowded
37,44,crowded
38,52,crowded
0,0,empty
10,15,seated
27,38,seated
3,4,empty
15,21,seated
20,28,seated
42,54,crowded
0,2,empty
12,11,empty
16,25,seated
11,15,seated
35,50,crowded
28,36,seated
18,21,seated
48,56,crowded
19,28,seated
9,13,empty
19,27,seated
2,4,empty
31,46,crowded
37,48,crowded
20,29,seated
31,45,crowded
35,51,crowded
5,4,empty
8,11,empty
11,15,seated
18,25,seated
19,25,seated
39,47,crowded
13,20,seated
28,38,seated
27,35,seated
27,32,seated
24,29,seated
28,36,seated
20,22,seated
41,57,crowded
9,9,empty
42,53,crowded
2,4,empty
25,35,seated
24,33,seated
36,51,crowded
24,30,seated
8,9,empty
45,57,crowded
11,18,seated
47,57,crowded
20,31,seated
0,0,empty
39,55,crowded
3,4,empty
32,44,crowded
2,3,empty
13,15,seated
19,23,seated
12,15,seated
45,54,crowded
1,1,empty
39,48,crowded
15,27,seated
20,31,seated
18,26,seated
12,19,seated
17,23,seated
9,11,empty
35,49,crowded
22,34,seated
41,59,crowded
17,32,seated
19,32,seated
35,50,crowded
31,42,crowded
25,36,seated
8,11,empty
2,2,empty
1,0,empty
26,32,seated
26,39,crowded
8,9,empty
36,42,crowded
30,43,crowded
21,28,seated
11,12,empty
5,11,empty
23,30,seated
36,45,crowded
1,1,empty
33,50,crowded
36,49,crowded
26,34,seated
16,22,seated
14,16,seated
19,25,seated
6,7,empty
21,28,seated
21,25,seated
5,9,empty
23,25,seated
22,33,seated
40,50,crowded
29,40,crowded
6,6,empty
3,3,empty
47,57,crowded
45,52,crowded
32,49,crowded
30,44,crowded
6,10,empty
20,28,seated
35,55,crowded
29,35,seated
20,24,seated
17,20,seated
39,56,crowded
27,35,seated
9,9,empty
29,36,seated
5,8,empty
19,23,seated
21,34,seated
41,48,crowded
24,34,seated
32,47,crowded
29,35,seated
11,17,seated
33,48,crowded
33,38,seated
23,31,seated
19,23,seated
15,22,seated
25,31,seated
23,36,seated
7,11,empty
39,48,crowded
42,54,crowded
6,12,empty
16,22,seated
22,24,seated
25,34,seated
34,40,crowded
25,29,seated
9,16,seated
31,48,crowded
16,19,seated
32,47,crowded
15,24,seated
17,21,seated
10,12,empty
45,58,crowded
10,18,seated
36,48,crowded
23,35,seated
8,11,empty
30,40,crowded
13,18,seated
9,11,empty
7,8,empty
4,6,empty
23,27,seated
7,13,empty
21,30,seated
36,51,crowded
14,18,seated
38,57,crowded
32,46,crowded
15,15,seated
35,52,crowded
3,4,empty
28,34,seated
7,11,empty
19,24,seated
38,51,crowded
44,58,crowded
17,20,seated
24,35,seated
43,52,crowded
16,22,seated
14,15,seated
38,56,crowded
32,38,seated
36,44,crowded
34,52,crowded
32,41,crowded
47,57,crowded
33,38,seated
6,13,empty
25,30,seated
49,57,crowded
4,4,empty
23,34,seated
18,22,seated
22,28,seated
36,42,crowded
8,10,empty
13,17,seated
37,46,crowded
9,11,empty
10,8,empty
7,9,empty
42,57,crowded
29,43,crowded
13,16,seated
26,37,seated
4,6,empty
38,45,crowded
12,12,empty
30,39,crowded
36,41,crowded
6,8,empty
33,49,crowded
18,26,seated
38,57,crowded
0,1,empty
4,4,empty
23,28,seated
26,36,seated
27,37,seated
12,18,seated
6,7,empty
40,47,crowded
32,44,crowded
0,0,empty
14,21,seated
32,51,crowded
13,16,seated
2,6,empty
21,24,seated
34,44,crowded
0,3,empty
26,35,seated
3,5,empty
47,59,crowded
24,30,seated
13,18,seated
38,43,crowded
38,53,crowded
24,38,seated
18,26,seated
5,9,empty
17,25,seated
12,18,seated
31,38,seated
3,2,empty
32,44,crowded
10,12,empty
32,49,crowded
22,27,seated
41,57,crowded
15,19,seated
19,27,seated
5,7,empty
24,40,crowded
31,38,seated
0,0,empty
2,2,empty
9,12,empty
17,27,seated
47,56,crowded
41,59,crowded
40,48,crowded
16,24,seated
46,55,crowded
18,32,seated
24,37,seated
39,52,crowded
5,5,empty
40,57,crowded
33,43,crowded
31,44,crowded
20,31,seated
35,44,crowded
34,46,crowded
13,20,seated
10,15,seated
33,53,crowded
20,20,seated
6,10,empty
50,59,crowded
29,36,seated
30,35,seated
27,34,seated
13,18,seated
15,19,seated
43,56,crowded
12,17,seated
35,46,crowded
27,40,crowded
38,48,crowded
11,13,empty
10,14,empty
24,30,seated
1,0,empty
38,52,crowded
37,53,crowded
36,53,crowded
2,2,empty
10,15,seated
13,22,seated
37,56,crowded
7,10,empty
9,11,empty
7,9,empty
26,31,seated
13,15,seated
6,7,empty
27,37,seated
7,11,empty
17,23,seated
20,27,seated
44,52,crowded
3,7,empty
42,57,crowded
17,27,seated
30,35,seated
19,25,seated
3,7,empty
38,57,crowded
42,59,crowded
39,49,crowded
20,27,seated
22,27,seated
23,36,seated
34,40,crowded
24,35,seated
22,26,seated
32,53,crowded
14,16,seated
6,8,empty
27,32,seated
39,52,crowded
12,19,seated
10,12,empty
20,27,seated
31,47,crowded
25,28,seated
9,12,empty
37,45,crowded
26,34,seated
4,5,empty
14,17,seated
36,50,crowded
5,4,empty
39,46,crowded
18,24,seated
0,1,empty
8,9,empty
46,55,crowded
17,29,seated
33,49,crowded
47,58,crowded
29,44,crowded
2,4,empty
41,54,crowded
47,55,crowded
21,32,seated
41,53,crowded
2,0,empty
13,17,seated
25,31,seated
35,46,crowded
35,48,crowded
9,10,empty
17,20,seated
18,25,seated
20,24,seated
14,21,seated
49,58,crowded
21,26,seated
33,48,crowded
9,12,empty
25,32,seated
21,33,seated
28,40,crowded
22,34,seated
0,0,empty
14,20,seated
35,47,crowded
44,54,crowded
3,5,empty
25,27,seated
13,16,seated
2,4,empty
24,30,seated
3,4,empty
30,37,seated
1,2,empty
33,52,crowded
13,22,seated
31,36,seated
42,52,crowded
29,36,seated
6,9,empty
6,9,empty
12,18,seated
15,16,seated
15,20,seated
10,13,empty
8,8,empty
27,45,crowded
2,0,empty
42,50,crowded
29,44,crowded
9,12,empty
0,3,empty
1,0,empty
43,48,crowded
31,39,crowded
18,31,seated
26,33,seated
22,27,seated
24,30,seated
4,7,empty
26,38,seated
19,25,seated
41,57,crowded
24,33,seated
39,53,crowded
44,53,crowded
1,2,empty
43,58,crowded
33,49,crowded
5,11,empty
0,0,empty
36,53,crowded
34,43,crowded
4,4,empty
24,29,seated
24,29,seated
50,58,crowded
45,56,crowded
12,16,seated
35,47,crowded
35,46,crowded
16,22,seated
10,14,empty
28,36,seated
17,20,seated
8,13,empty
0,1,empty
6,10,empty
33,50,crowded
29,38,seated
29,37,seated
46,59,crowded
23,33,seated
26,37,seated
40,49,crowded
24,33,seated
13,17,seated
20,29,seated
8,14,empty
19,26,seated
42,50,crowded
22,33,seated
43,51,crowded
37,56,crowded
25,37,seated
20,32,seated
17,23,seated
10,14,empty
47,59,crowded
18,29,seated
41,54,crowded
27,41,crowded
39,50,crowded
9,16,seated
6,4,empty
19,28,seated
3,3,empty
4,9,empty
39,55,crowded
10,16,seated
6,9,empty
10,16,seated
48,59,crowded
14,19,seated
17,23,seated
2,4,empty
27,33,seated
5,5,empty
36,52,crowded
2,1,empty
11,12,empty
36,42,crowded
33,42,crowded
29,47,crowded
5,10,empty
35,50,crowded
37,46,crowded
40,56,crowded
15,22,seated
36,54,crowded
9,15,seated
23,30,seated
9,10,empty
45,53,crowded
12,15,seated
3,7,empty
2,3,empty
29,39,crowded
3,3,empty
41,55,crowded
19,24,seated
2,2,empty
21,31,seated
0,2,empty
22,26,seated
24,28,seated
27,31,seated
33,49,crowded
42,57,crowded
37,50,crowded
12,18,seated
17,20,seated
5,4,empty
14,17,seated
23,27,seated
29,41,crowded
17,21,seated
16,20,seated
3,5,empty
0,0,empty
2,4,empty
25,40,crowded
10,11,empty
21,25,seated
32,45,crowded
29,33,seated
33,48,crowded
9,13,empty
20,25,seated
30,44,crowded
16,26,seated
6,8,empty
18,25,seated
44,56,crowded
30,46,crowded
44,56,crowded
17,21,seated
41,46,crowded
39,55,crowded
23,29,seated
33,42,crowded
34,47,crowded
9,16,seated
16,25,seated
27,35,seated
0,0,empty
6,7,empty
41,48,crowded
25,34,seated
31,51,crowded
12,14,empty
39,46,crowded
42,55,crowded
14,21,seated
11,13,empty
18,25,seated
19,27,seated
17,22,seated
7,13,empty
17,23,seated
2,1,empty
36,44,crowded
20,25,seated
11,13,empty
49,58,crowded
45,55,crowded
36,50,crowded
4,6,empty
1,2,empty
37,46,crowded
17,22,seated
36,45,crowded
34,42,crowded
29,46,crowded
39,59,crowded
36,44,crowded
12,17,seated
40,57,crowded
29,37,seated
26,34,seated
33,50,crowded
11,14,empty
18,24,seated
44,54,crowded
30,36,seated
22,27,seated
6,9,empty
31,38,seated
42,56,crowded
12,16,seated
30,38,seated
16,21,seated
18,25,seated
31,43,crowded
17,24,seated
15,16,seated
9,12,empty
14,19,seated
19,24,seated
3,3,empty
5,9,empty
1,2,empty
29,40,crowded
32,44,crowded
13,17,seated
32,46,crowded
29,35,seated
38,46,crowded
18,21,seated
27,33,seated
35,46,crowded
7,7,empty
28,39,crowded
37,48,crowded
33,43,crowded
15,18,seated
27,41,crowded
27,40,crowded
29,36,seated
8,5,empty
40,51,crowded
20,25,seated
23,33,seated
38,58,crowded
45,55,crowded
45,58,crowded
29,44,crowded
4,5,empty
25,36,seated
41,56,crowded
21,32,seated
42,52,crowded
17,21,seated
14,20,seated
6,5,empty
4,5,empty
42,54,crowded
33,47,crowded
1,3,empty
21,29,seated
8,10,empty
20,29,seated
23,30,seated
16,23,seated
38,54,crowded
4,8,empty
39,54,crowded
4,2,empty
35,50,crowded
24,30,seated
31,39,crowded
27,36,seated
28,35,seated
16,23,seated
22,30,seated
3,5,empty
0,1,empty
15,19,seated
20,27,seated
8,10,empty
2,3,empty
9,14,empty
4,5,empty
44,53,crowded
32,48,crowded
19,29,seated
44,55,crowded
32,37,seated
39,50,crowded
37,56,crowded
1,1,empty
9,14,empty
6,10,empty
5,7,empty
19,25,seated
39,50,crowded
37,44,crowded
33,43,crowded
1,4,empty
3,5,empty
21,25,seated
36,53,crowded
3,3,empty
13,18,seated
9,19,seated
27,32,seated
14,19,seated
34,48,crowded
9,11,empty
36,46,crowded
0,0,empty
19,25,seated
14,13,empty
30,37,seated
24,36,seated
7,10,empty
24,35,seated
9,12,empty
34,42,crowded
2,2,empty
25,32,seated
1,5,empty
40,49,crowded
35,55,crowded
6,9,empty
1,4,empty
15,22,seated
9,9,empty
31,43,crowded
2,1,empty
9,12,empty
33,39,crowded
3,1,empty
14,19,seated
1,0,empty
29,36,seated
7,8,empty
10,16,seated
3,8,empty
8,10,empty
8,14,empty
16,23,seated
26,37,seated
40,54,crowded
30,34,seated
21,29,seated
20,30,seated
41,48,crowded
3,4,empty
47,59,crowded
35,43,crowded
38,49,crowded
6,13,empty
40,52,crowded
44,55,crowded
8,10,empty
8,8,empty
28,33,seated
7,11,empty
25,34,seated
26,34,seated
0,0,empty
27,39,crowded
14,21,seated
46,59,crowded
23,28,seated
4,7,empty
4,10,empty
28,40,crowded
30,36,seated
6,13,empty
48,59,crowded
25,29,seated
27,34,seated
21,20,seated
25,36,seated
4,4,empty
12,18,seated
49,58,crowded
11,13,empty
20,25,seated
2,3,empty
16,24,seated
31,44,crowded
33,41,crowded
18,24,seated
14,17,seated
27,39,crowded
6,7,empty
31,38,seated
31,39,crowded
8,13,empty
23,31,seated
37,50,crowded
24,37,seated
25,32,seated
16,22,seated
9,14,empty
24,32,seated
17,24,seated
12,16,seated
25,32,seated
36,46,crowded
43,54,crowded
5,1,empty
11,13,empty
40,52,crowded
27,39,crowded
30,39,crowded
40,50,crowded
28,38,seated
33,50,crowded
7,5,empty
5,5,empty
2,2,empty
8,6,empty
41,50,crowded
6,7,empty
28,41,crowded
41,51,crowded
10,14,empty
39,46,crowded
20,28,seated
24,32,seated
38,51,crowded
22,29,seated
27,38,seated
21,26,seated
22,35,seated
23,28,seated
26,37,seated
46,56,crowded
27,32,seated
27,36,seated
19,26,seated
46,54,crowded
22,32,seated
4,3,empty
13,21,seated
2,1,empty
8,9,empty
5,4,empty
42,58,crowded
6,9,empty
22,32,seated
33,53,crowded
27,37,seated
11,12,empty
27,30,seated
35,46,crowded
24,35,seated
32,44,crowded
17,23,seated
37,51,crowded
44,55,crowded
10,14,empty
24,28,seated
5,7,empty
2,4,empty
24,28,seated
36,46,crowded
2,3,empty
7,11,empty
33,44,crowded
0,1,empty
20,26,seated
21,30,seated
43,50,crowded
40,50,crowded
25,35,seated
31,35,seated
18,25,seated
32,42,crowded
20,26,seated
2,4,empty
17,19,seated
8,10,empty
6,9,empty
34,39,crowded
26,37,seated
4,5,empty
3,7,empty
17,22,seated
32,46,crowded
13,25,seated
32,45,crowded
29,42,crowded
6,11,empty
24,25,seated
13,12,empty
31,39,crowded
11,17,seated
23,24,seated
26,32,seated
34,46,crowded
34,39,crowded
47,59,crowded
30,42,crowded
6,11,empty
31,43,crowded
28,35,seated
38,47,crowded
1,3,empty
3,4,empty
40,55,crowded
28,36,seated
9,7,empty
29,41,crowded
36,48,crowded
21,27,seated
19,30,seated
47,57,crowded
6,8,empty
39,53,crowded
40,50,crowded
22,28,seated
7,13,empty
28,39,crowded
33,40,crowded
12,21,seated
8,10,empty
14,22,seated
1,0,empty
36,45,crowded
29,36,seated
15,20,seated
18,25,seated
33,45,crowded
25,35,seated
34,53,crowded
13,22,seated
43,56,crowded
0,0,empty
41,53,crowded
47,54,crowded
37,50,crowded
32,39,crowded
9,14,empty
16,20,seated
38,46,crowded
8,8,empty
46,52,crowded
5,8,empty
7,9,empty
39,51,crowded
39,56,crowded
43,52,crowded
18,25,seated
31,40,crowded
23,34,seated
35,51,crowded
16,24,seated
22,25,seated
8,10,empty
27,37,seated
0,1,empty
5,6,empty
14,17,seated
20,26,seated
25,33,seated
18,26,seated
13,16,seated
34,42,crowded
48,58,crowded
35,43,crowded
39,58,crowded
33,50,crowded
38,53,crowded
15,23,seated
17,24,seated
5,6,empty
36,51,crowded
3,5,empty
44,52,crowded
18,23,seated
21,32,seated
40,48,crowded
20,28,seated
34,42,crowded
17,21,seated
19,25,seated
20,27,seated
37,49,crowded
15,20,seated
31,48,crowded
2,6,empty
12,16,seated
13,19,seated
32,40,crowded
37,48,crowded
16,19,seated
37,53,crowded
16,21,seated
22,27,seated
25,39,crowded
36,48,crowded
2,6,empty
0,0,empty
27,31,seated
9,12,empty
18,29,seated
15,22,seated
39,50,crowded
42,58,crowded
41,55,crowded
13,18,seated
26,31,seated
25,29,seated
23,28,seated
33,48,crowded
31,44,crowded
19,28,seated
21,29,seated
16,15,seated
27,39,crowded
12,18,seated
15,17,seated
0,0,empty
11,13,empty
37,50,crowded
33,46,crowded
40,49,crowded
0,1,empty
36,53,crowded
20,27,seated
36,48,crowded
39,49,crowded
22,29,seated
28,37,seated
42,50,crowded
1,3,empty
0,0,empty
5,7,empty
24,28,seated
42,54,crowded
25,38,seated
2,2,empty
22,31,seated
6,9,empty
6,9,empty
11,18,seated
38,45,crowded
24,33,seated
41,59,crowded
24,32,seated
15,22,seated
35,54,crowded
15,27,seated
20,31,seated
34,49,crowded
4,6,empty
19,28,seated
3,7,empty
0,0,empty
44,56,crowded
40,54,crowded
2,2,empty
17,23,seated
16,22,seated
44,58,crowded
4,7,empty
44,53,crowded
35,56,crowded
39,46,crowded
24,36,seated
3,2,empty
39,50,crowded
25,32,seated
18,27,seated
36,46,crowded
5,7,empty
26,33,seated
25,34,seated
24,31,seated
17,23,seated
8,13,empty
22,31,seated
39,55,crowded
39,45,crowded
32,42,crowded
13,15,seated
0,3,empty
39,51,crowded
31,36,seated
42,53,crowded
15,20,seated
10,13,empty
29,30,seated
42,54,crowded
30,47,crowded
10,17,seated
7,6,empty
9,9,empty
6,6,empty
24,32,seated
16,22,seated
13,20,seated
13,18,seated
32,47,crowded
12,18,seated
26,35,seated
21,28,seated
50,59,crowded
11,17,seated
1,1,empty
0,0,empty
33,46,crowded
5,4,empty
13,19,seated
6,10,empty
33,41,crowded
1,1,empty
4,2,empty
16,22,seated
45,54,crowded
10,11,empty
15,19,seated
3,4,empty
28,36,seated
30,37,seated
22,29,seated
7,8,empty
23,33,seated
44,52,crowded
34,43,crowded
20,34,seated
39,51,crowded
49,57,crowded
12,21,seated
30,43,crowded
18,23,seated
12,16,seated
8,9,empty
22,29,seated
37,55,crowded
44,58,crowded
30,45,crowded
15,22,seated
21,31,seated
11,16,seated
42,49,crowded
39,50,crowded
12,16,seated
10,13,empty
5,8,empty
28,39,crowded
1,1,empty
28,44,crowded
19,24,seated
30,38,seated
7,8,empty
36,53,crowded
16,21,seated
34,42,crowded
39,45,crowded
4,3,empty
19,25,seated
42,57,crowded
22,28,seated
32,44,crowded
26,33,seated
14,22,seated
23,36,seated
8,10,empty
3,5,empty
12,17,seated
14,20,seated
30,41,crowded
28,35,seated
25,40,crowded
27,37,seated
26,33,seated
11,16,seated
24,36,seated
17,24,seated
28,37,seated
45,57,crowded
8,11,empty
19,22,seated
36,52,crowded
33,41,crowded
17,21,seated
18,20,seated
18,26,seated
42,56,crowded
23,30,seated
4,5,empty
20,26,seated
31,39,crowded
21,33,seated
9,11,empty
34,44,crowded
45,56,crowded
39,52,crowded
5,6,empty
6,9,empty
29,44,crowded
14,16,seated
20,25,seated
17,20,seated
18,27,seated
44,57,crowded
37,45,crowded
3,1,empty
49,59,crowded
35,53,crowded
32,42,crowded
0,0,empty
34,50,crowded
45,52,crowded
24,35,seated
37,50,crowded
20,25,seated
23,28,seated
16,20,seated
7,10,empty
27,39,crowded
7,10,empty
28,35,seated
38,48,crowded
40,58,crowded
31,38,seated
29,39,crowded
27,34,seated
38,53,crowded
28,33,seated
37,54,crowded
38,46,crowded
16,23,seated
37,53,crowded
17,21,seated
2,4,empty
44,55,crowded
27,32,seated
47,57,crowded
26,35,seated
36,46,crowded
15,19,seated
15,18,seated
30,34,seated
42,51,crowded
32,42,crowded
12,16,seated
38,58,crowded
36,44,crowded
29,42,crowded
23,33,seated
8,8,empty
17,25,seated
0,1,empty
38,52,crowded
5,8,empty
6,8,empty
27,39,crowded
13,16,seated
0,0,empty
18,24,seated
33,42,crowded
28,39,crowded
33,41,crowded
15,24,seated
28,38,seated
27,34,seated
1,2,empty
39,49,crowded
29,36,seated
34,43,crowded
32,43,crowded
41,50,crowded
20,29,seated
28,37,seated
25,33,seated
5,11,empty
12,18,seated
30,36,seated
30,43,crowded
48,58,crowded
48,58,crowded
33,48,crowded
12,16,seated
11,9,empty
45,56,crowded
37,54,crowded
31,48,crowded
31,46,crowded
10,11,empty
13,15,seated
12,23,seated
14,18,seated
5,7,empty
19,30,seated
16,20,seated
12,16,seated
13,22,seated
29,36,seated
37,53,crowded
9,15,seated
3,5,empty
5,7,empty
20,24,seated
12,17,seated
17,24,seated
8,11,empty
9,14,empty
46,58,crowded
21,25,seated
29,40,crowded
35,44,crowded
17,25,seated
35,46,crowded
23,31,seated
7,9,empty
15,15,seated
1,6,empty
11,16,seated
15,22,seated
19,25,seated
15,20,seated
16,21,seated
42,57,crowded
6,6,empty
9,13,empty
12,14,empty
40,52,crowded
5,6,empty
